Identifier,Label,Description,Created,Modified,History notes,Type,
744,Highway projection licence,The local authority is responsible for processing applications for licences are required for any display or temporary construction which may protrude or project over a public highway.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Scope notes updated in version 3.00 to include relevant legislation. Term name changed from 'Licence - highway projection' to 'Licences - highway projection' in version 3.00. Name changed to 'Highway projection licence' in version 4.00.,Service,
841,Historic sites maintenance,"Maintenance and preservation of sites of historical or cultural interest and ancient monuments within the local authority area. In many cases this may be undertaken jointly or wholly by third party organisations. Local authorities are obliged to maintain a list of all monuments in their area, which is available for public inspection.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Scope notes updated in version 3.00 to include publication of statutory register. Term name changed from 'Sites and ancient monuments' to 'Land and property - historic sites - maintenance' in version 3.00. name changed to 'Historic sites maintenance' in version 4.00.,Service,
202,HIV / AIDS support for adults,"This service provides a confidential service, counselling and emotional support, financial advice and practical advice to people diagnosed with HIV.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Support for adults with HIV' to 'Social services - HIV / AIDS - advice and support for adults' in version 3.00. Name changed to HIV/AIDS support for adults in version 4.00.,Service,
246,HIV / AIDS support for children and young people,Support for children and the families of children living with HIV and AIDS to ensure that children with HIV and their families receive the best support to live their lives as they would choose..,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Support for children with HIV' to 'Children and young people - HIV / AIDS - advice and support' in version 3.00. Name changed to 'HIV/AIDS support for children and young people' and scope note revised  in version 4.00. ,Service,
123,Home contents insurance,"Local authorities manage and maintain tenants homes but do not insure tenants personal belongings, household goods and contents. However, they offer comprehensive insurance cover for contents which is exclusively available to its tenants. Tenants are advised to take out home contents insurance.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Housing - home insurance' to 'Housing - council - home insurance' in version 3.00. Name changed to 'Home contents insurance' in version 4.00.,Service,
1602,Home fire safety equipment,"Advice and information on how to choose, install, and maintain smoke alarms and other types of fire safety equipment residents may want to consider having in their home",2013-04-03,2013-04-03,Added in version 4.00.,Service,
858,Home improvement loans,Local authorities may provide financial assistance (in the form of a mortgage or secured loan) to existing or prospective homeowners to enable them to carry out improvements and repairs on their property.,2013-04-03,2013-04-03,Term name changed from 'Mortgages' to 'Housing - improvement and repairs - loans' in version 3.00. Name changed to 'Home improvement loans' in version 4.00.,Service,
158,Home purchase grants,Under the home move purchase scheme the local authority will pay a tenant a grant to help them buy their new home. The tenant must give up their property to be eligible for this scheme.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Home ownership service - home move purchase grants' to 'Housing - council - new home purchase grants' in version 3.00. Name changed to 'Home purchase grant' in version 4.00.,Service,
433,Home renovation grants,Home renovation grants may be available to repair or improve privately owned dwellings and to bring empty properties back into use.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Renovation grants' to 'Grants - home renovation' in version 3.00. Name changed to 'Home renovation grants' and scope notes updated in version 4.00.,Service,
136,Home repair assistance grant,"The repair assistance grant scheme provides financial assistance towards the cost of materials required to carry out repairs, improvements or adaptations to rented council property.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Home improvements - home repair assistance grant' to 'Housing - improvements - home repair assistance grant' in version 3.00. Name changed to 'Home repair assistance grant' in version 4.00.,Service,
423,Home safety advice,"Advice and information about safety in the home including accident prevention, what to do in the event of an accident, risks in the home etc.  Some authorities may run safety awareness training sessions for the local community.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Home safety' to 'Safety - home safety - advice' in version 3.00. Name changed in 'Home safety advice' in version 4.00.,Service,
1,Home schooling,"The education authority will arrange to visit a parent thinking about educating their child at home to help them plan the child's education. They will ensure that the child will receive efficient full-time education suitable to their age, ability and any special needs.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Educating your child at home' to 'Schools - home schooling' in version 3.00. . Term name changed to 'Home schooling' in version 4.00,Service,
112,Homelessness support,This service provides information and advice about housing to people who are homeless or at risk of becoming homeless. They may be offered temporary accommodation or permanent home.,2013-04-03,2013-04-03,Term name changed from 'Homelessness' to 'Homelessness (help and advice)' and scope notes added in version 2.02. Term name changed from 'Homelessness (help and advice)' to 'Homelessness - advice and support' in version 3.00. Name changed to 'Homelessness support' in version 4.00.,Service,
898,Homes in multiple occupancy licence,"""Landlords of houses of multiple occupation (with more than two households or tenants) are required to be licensed by the Local Authority. 
In Scotland any rented property which is occupied by three or more unrelated people, who share a kitchen, bathroom or toilet, must have a licence from the local authority.""@en",2013-04-03,2013-04-03,Term name changed from 'Licence - house of multiple occupation' to 'Licences - homes in multiple occupancy' in version 3.00.. Name changed to 'Homes in mutiple occupancy licence' in version 4.00.,Service,
264,Hospice care for children and young people,"Children's hospices provide respite and terminal care for children suffering from life-limiting conditions in a home-from-home environment. Care is provided for the child and their family at no cost to them for as long as is necessary, including post bereavement support.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Hospice care for children' to 'Children and young people - hospice care' in version 3.00. Name changed to 'Hospice care for children and young people in version 4.00.,Service,
200,Hospitalisation - pet care,The local authority provides information and advice regarding pet care when people go into hospital.,2013-04-03,2013-04-03,Term name changed from 'Pet care' to 'Pet care when hospitalised' and scope notes added in version 2.02. Term name changed from 'Pet care when hospitalised' to 'Social services - hospitalisation - pet care' in version 3.00. Name changed to 'Hospitalisation - pet care' in version 4.00.,Service,
912,House clearance and re-housing,Where a property is unfit to live in the LA may decide to demolish it and redevelop the site (which may mean the clearance of neighbouring property).  The council will usually offer the owners the market value of the property and repay expenses associated with moving plus possible compensation. Where the property is rented tenants will be given priority for re-housing in a council property.,2013-04-03,2013-04-03,Term name changed from 'Clearance and re-housing service' to 'Housing - clearance and re-housing' in version 3.00. name changed to 'House clearance and rehousing' in version 4.00.,Service,
666,House surveying - major repairs,The local authority is under a duty to gain access to properties to undertake surveys for number of reasons such as major repairs and to carry out specialist surveys.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Surveying (major repairs)' to 'Housing - surveying - major repairs' in version 3.00. Name changed to 'House surveying - major repairs' in version 4.00.,Service,
648,House to house collection licence,"""Permission must be granted by the local authority before a house to house collection can take place. Application should be made to the local authority with sufficient notice prior to the date on which the collection is due to take place. 
In Scotland permission must be granted by the local authority for Public Charitable Collections.""@en",2013-04-03,2013-04-03,Added scope notes in version 2.02. Scope notes updated in version 3.00 to include Scottish legislation. Term name changed from 'Licence - house to house collection' to 'Licences - house to house collection' in version 3.00. Name changed to 'House to house collection licence' in version 4.00.,Service,
780,Houseboats,Advice and regulation concerning the use and mooring of houseboats that are located in waters maintained by the local authority.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Houseboats' to 'Boats - houseboats' in version 3.00. Name changed to 'Houseboats' in version 4.00.,Service,
530,Household garden waste,Garden waste may be collected from outside residential properties.  There may be a charge for this service. Containers for garden waste may be provided or may need to be purchased from the local authority..,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Household waste - garden waste' to 'Refuse - household waste - garden waste' in version 3.00. Name changed to 'Garden waste' and scope notes updated in version 4.00.,Service,
1473,Household waste accumulation,Where accumulations of rubbish are considered a statutory nuisance the council may ask the landowner to remove the rubbish and has the power to prosecute where no action is taken.,2013-04-03,2013-04-03,Added in version 3.11. Name changed to 'Household waste accumulation' in version 4.00.,Service,
854,Household waste assisted collection,"An assisted refuse collection service provided to residents who, through illness or infirmity, are unable to put out their refuse and do not have anyone else to assist them.",2013-04-03,2013-04-03,Term name changed from 'Assisted refuse collection' to 'Refuse - household waste - assisted collection' in version 3.00. Name changed to 'Household waste assisted collection' in version 4.00.,Service,
524,Household waste collection,The local authority provides a regular (usually weekly) collection of household rubbish from all residential premises within the authority boundaries.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Household waste - collection' to 'Refuse - household waste - collection' in version 3.00. Name changed to 'Household waste collection' in version 4.00.,Service,
526,Household waste containers,"The local authority may provide dustbins, wheelie bins or bags for household waste.  The type and size of bins available may vary according to local circumstances and to the nature of the property (e.g. the number of residents).",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Household waste - domestic bins' to 'Refuse - household waste - domestic bins' in version 3.00. Name changed to 'Household waste containers' in version 4.00.,Service,
531,Household waste disposal sites,Provision of civic amenity sites which may be used by local residents (usually free of charge) and businesses (usually charged).  The sites provide facilities for collection of all household and garden waste other than anything which may be considered as hazardous and requiring special treatment.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Household waste - disposal sites' to 'Refuse - household waste - disposal sites' in version 3.00.  Scope notes updated in version 3.01 for clarification. Name changed to 'Household waste disposal sites' in version 4.00.,Service,
1470,Household waste enforcement,Under the council can specify the location and times at which household waste can be placed for collection. The council can take action against any residents who do not comply with local regulations.,2013-04-03,2013-04-03,Added in version 3.11. Name changed to 'Household waste enforcement' in version 4.00.,Service,
716,Houses in multiple occupation register,The landlord or person having control of or managing homes in multiple occupancy must apply to register the premises with the local authority.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Homes in multiple occupancy - register' to 'Housing - multiple occupation - register' in version 3.00. Name changed to 'Houses in multiple occupation register' in version 4.00.,Service,
150,Houses in multiple occupation safety inspection,"The local authority carries out safety inspection on homes in multiple occupation to ensure that it is safe, fit to live in and meet the legislative standards.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Safety inspection - homes in multiple occupation' to 'Housing - multiple occupation - safety inspection' in version 3.00. Name changed to 'Houses in multiple occupation safety inspection' in version 4.00.,Service,
650,Housing - accommodation certificates - tolerable standard,The aim of this service is to identify properties which fail to meet the fitness for habitation or tolerable standard requirement and determine the most satisfactory course of action to be taken with that property.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Scope notes changed in version 3.00 to include Scottish terminology. Term name changed from 'Accommodation certificates (fitness for human habitation)' to 'Housing - accommodation certificates - fitness for human habitation' in version 3.00. Name changed to 'Accommodation certificates' in version 4.00.,Service,
85,Housing - allocations - low demand properties,"A low demand or 'hard to let' property is a property where one or more of the following symptoms are exhibited: a small or non-existent waiting list for the property; tenancy offers on a property frequently refused for reasons other than personal reasons; higher than normal rates of tenancy turnover for a property in an area. Many initiatives used by councils and Registered Social Landlords to let low demand properties are based on making the property more attractive to the potential tenant. This includes offering incentives such as a rent-free period if the tenancy is accepted; offering a decoration, furniture or white goods allowance; or offering a garden tidy.",2013-04-03,2013-04-03,Added scope notes in version 2.02 Scope notes updated in version 3.00. Term name changed from 'Housing allocations - hard to let/easy access properties' to 'Housing - allocations - hard to let properties' in version 3.00. Name changed to 'Hard to let properties' in version 4.00.,Service,
89,Housing allocation system,The local authority or Registered Social Landlord uses a housing point system as a guide to priority when allocating housing. The points system reflects the current situation or condition in which an applicant lives.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Scope notes updated in version 3.00. Term name changed from 'Housing allocations - allocation points' to 'Housing - allocations - allocation system' in version 3.00. Name changed to 'Housing allocation system' in version 4.00.,Service,
661,Housing and public health,Providing advice and information to the public on all aspects of public health relating to housing.  Enforcement of public health and housing regulations.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Public health - housing' to 'Housing - public health advice' in version 3.00. Name changed to 'Housing and public health' in version 4.00.,Service,
87,Housing association  nomination and registration,Housing Associations are 'Registered Social Landlords' not private landlords. They provide housing in a very similar way to the Council and are non-profit making.  People on the local  authority transfer list or housing register may be offered a Housing Association property instead of a Council home.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Housing association - nomination to join the register' to 'Housing - associations - nomination and registration' in version 3.00. Name changed to 'Housing association nomination and registration' in version 4.00,Service,
72,Housing benefit appeals,Anyone who has claimed housing benefit and disagrees with the decision made in their assessment can challenge the decision by submitting an appeals form within one month of the date of the original decision.  The authority is responsible for advising claimants of appeal procedures and investigating each appeal.,2013-04-03,2013-04-03,Term name changed from' Appeals' to 'Housing benefit appeals' and scope notes added in version 2.02. Term name changed from 'Housing benefit appeals' to 'Housing - benefit - appeals' in version 3.00. Name changed to 'Hosuing benefit appeals' in version 4.00.,Service,
68,Housing benefit backdated claims,A claimant may be eligible for their claim for housing benefit to be backdated (by up to 52 weeks) if there is a good cause why they were unable to apply for their housing benefit earlier.  The authority is responsible for advising residents about eligibility for backdating claims and for processing applications.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Backdating claims' to 'Housing - benefit - backdated claims' in version 3.00. Name changed to 'Housing benefit backdated claims' in version 4.00,Service,
70,Housing benefit current claim,"Review of housing benefit for an existing client usually as a result of a change of circumstances (new job, change of address etc.)",2013-04-03,2013-04-03,Term name changed from' Current claim' to 'Current claim (housing tax benefit)' and scope notes added in version 2.02. Term name changed from 'Current claim (housing tax benefit)' to 'Housing - benefit - current claim' in version 3.00. name changed to 'Hosuing benefit current claim' in version 4.00.,Service,
69,Housing benefit new claim,Processing of a new claim for housing benefit from both council and private tenants.  Claims require evidence of tenancy and income in order to assess eligibility for benefit.,2013-04-03,2013-04-03,Term name changed from' New claim' to 'Housing benefit - new claim' and scope notes added in version 2.02. Term name changed from 'Housing benefit - new claim' to 'Housing - benefit - new claim' in version 3.00. Name changed to 'Housing benefit new claim' in version 4.00.,Service,
71,Housing benefit overpayments,The local authority has a duty to recover overpayments of benefit for which there was no entitlement from tenants and landlords and where necessary take criminal proceedings in respect of fraudulent overpayments.,2013-04-03,2013-04-03,Term name changed from' Overpayments' to 'Housing benefit - overpayments' and scope notes added in version 2.02. Term name changed from 'Housing benefit - overpayments' to 'Housing - benefit - overpayments' in version 3.00. Name changed to 'Hosuing benefit overpayments' in version 4.00.,Service,
73,Housing benefit renewal,Local authorities may review the circumstances of anyone who is currently receiving housing and council tax benefit by issuing a change in circumstances form or by carrying out a visit.,2013-04-03,2013-04-03,"Term name changed from' Renewal' to 'Housing benefit - renewal' and scope notes added in version 2.02, and changed in version 3.06. Term name changed from 'Housing benefit - renewal' to 'Housing - benefit - renewal' in version 3.00. Name changed to 'Housing benefit renewal' in version 4.00.",Service,
1054,Housing Care and Repair scheme,"The Care and Repair project is for elderly or disabled owner/occupiers or private sector tenants who require repairs or improvements to their home. The service excludes decoration, gardening, fencing, slabbing etc.  Clients are required to pay the cost of the materials only. A hardship fund will operate to pay for materials in limited cases. If you are unsure whether the small repairs service can assist, please telephone for advice.",2013-04-03,2013-04-03,Name changed to 'Musical instrument hire' in version 4.00.,Service,
97,Housing crime support,"The local authority provides support and assistance to residents who are victims of a crime such as homophobic crime, racist crime, or general crime committed in their home or whilst in the vicinity of their home. If the resident is a council tenant and the council are unable to resolve the problem they may offer the tenant the chance of being re-housed in a different area.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Name changed in version 3.0 to clarify scope. Term name changed from 'Council housing - crime' to 'Housing - crime support and assistance' in version 3.00. Scope notes updated in version 3.04. Name changed to 'Housing crime support' in version 4.00.,Service,
99,Housing estate safety,The council work with tenants to ensure the safety of all council housing estates.  They will address issues of nuisance and harassment and ensure all areas are well lit and secured (entry doors etc.).,2013-04-03,2013-04-03,Added scope notes in version 2.02. Name changed to 'Housing estate safety' in version 4.00.,Service,
117,Housing evictions,If a tenant fails to pay rent or breaches any aspects of their tenancy agreement the local authority has the right to evict the tenant by applying to the court to repossess the property.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Council housing - evictions' to 'Housing - council - evictions' in version 3.00. Name changed to 'Housing evictions' in version 4.00.,Service,
132,Housing improvements - temporary accommodation,Provision of temporary accommodation to tenants who are being disturbed by major works carried out in their own or neighbouring properties.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Home improvements - temporary accommodation' to 'Housing - improvements - temporary accommodation' in version 3.00.,Service,
124,Housing insurance claims,"Council tenants may make insurance claims against the council for any damage that the council causes to the tenants' possessions, or injury to the tenant or members of their family.  This includes damage caused by contractors working on behalf of the council.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Housing - insurance claims against the council' to 'Housing - council - insurance claims' in version 3.00. Name changed to 'Housing insurance claims' in version 4.00.,Service,
110,Housing legal advice,"Court housing advice and reprementation schemes aim to provide free, independent and confidential advice and representation to homeowners and tenants attending hearings in possession proceedings brought on grounds of arrears, who either have not previously obtained advice and/or are without legal reprementation. 
In Scotland, the Shelter and Law Centre aims to provide free advice and support.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Representation on court' to 'Housing - legal advice and support ' in version 3.00. Scope notes amended in version 3.05. Name changed to 'Housing legal advice' in version 4.00.,Service,
1124,Housing mediation,The council provides a mediation service to help resolve disputes between neighbours or between citizens and the council.,2013-04-03,2013-04-03,Name changed to 'Housing mediation' in version 4.00.,Service,
144,Housing modernisation schemes,"For council owned properties which are particularly old the council will implement a modernisation scheme to bring the property up to acceptable standards.  This may involve rewiring, new windows, new doors etc.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Modernisation schemes' to 'Housing - council - modernisation schemes' in version 3.00. Name changed to 'Housing modernisation schemes' in version 4.00.,Service,
98,Housing nuisance,"The local authority will provide support and assistance to local residents who are victims of harassment, anti-social behaviour and noise and nuisances and where necessary take appropriate actions in conjunction with other agencies (police etc.).",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Council housing - nuisance/threatening behaviour' to 'Housing - nuisance and threatening behaviour' in version 3.00.  Scope notes updated to replace 'tenants' with 'local residents' in 3.01. Name changed to 'Housing nuisance' in version 4.00.,Service,
911,Housing referrals,The council may refer tenants to Registered Social Landlords (housing associations) within the council area or to the housing division of another LA where a move to another area is a possibility.  RSLs will normally operate a scheme with the council whereby a proportion of their property is set aside for people on the council's housing waiting list.,2013-04-03,2013-04-03,Term name changed from 'Referrals to other RSLs/LAs' to 'Housing - referrals to housing associations and other local authorities' in version 3.00. Name changed to 'Housing referrals' in version 4.00.,Service,
120,Housing rent,Every council tenant must pay rent for their property. Rent is usually payable weekly and may include other regular or communal charges associated with the property. The local authority will help tenants to claim any available assistance with paying their rent.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Housing rents' to 'Housing - council - rent' in version 3.00. Name changed to 'Housing rent' in version 4.00.,Service,
148,Housing rent setting,The local authority is responsible for setting the level of rent based on how much it needs to spend on services for its tenants.  Rents should be published giving reasonable notice of any changes (usually at least one month).,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Housing - rent setting' to 'Housing - council - rent setting' in version 3.00. Name changed to 'Housing rent setting' in version 4.00.,Service,
141,Housing repairs,"The council are generally responsible for structural repairs to council property, for repairs to essential supplies (water, gas, electricity etc.) or any repairs where they may be a risk to health or safety. Where the damage has been caused by the resident they may be asked to pay for the repairs.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Housing repairs - council property' to 'Housing - repairs - council property' in version 3.00. Name changed to 'Housing repairs' in version 4.00.,Service,
91,Housing tenant support,"As well as officers taking repair reports, collecting rents and other payments, managing rent arrears and dealing with breaches of the tenancy agreement; local estate staff can also help and advise on a number of other issues including moving, adaptations and multiple tenancies",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Council housing - tenancy issues' to 'Housing - tenancy issues' in version 3.00. Name changed to 'Housing tenant support' in version 4.00.,Service,
1085,Idling vehicles,A local authority may enforce powers to deal with idling vehicles. If you idle your vehicle unnecessarily while stopped you could be faced with a fixed penalty ticket,2013-04-03,2013-04-03,Name changed to 'Idling vehicles' in version 4.00,Service,
399,Illegal street trading,Monitoring and regulation of street traders to ensure that trading is only taking place under licence from the local authority.  Dealing with reported instances of unlicensed street trading.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Street trading - illegal' to 'Trading standards - illegal street trading' in version 3.00. Name changed to 'Illegal street trading' in version 4.00.,Service,
271,Incontinence laundry service,People suffering from incontinence may be eligible for a laundry service.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Incontinence laundry service' to 'Social services - incontinence laundry service' in version 3.00. Name changed to 'Incontinence laundry service' in version 4.00.,Service,
825,Independent funerals,Advice and information on how to organise a funeral without the use of a funeral director.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Independent funerals' to 'Death - funerals - independent' in version 3.00. Name changed to 'Independent funerals' in version 4.00.,Service,
435,Infectious disease investigation,"Investigation of notifications of infectious diseases such as food poisoning received from GPs, the public, businesses and other local authorities.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Infectious diseases' to 'Health - infectious diseases - investigation' in version 3.00. Name changed to 'Infectious disease investigation'.,Service,
51,Instrumental tuition,"Individual or group tuition may be offered to both primary and secondary school pupils. Instrumental tuition also supports a wider musical experience through participation in ensembles, bands, orchestras and choirs.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Instrumental tuition' to 'Education - tuition - instrumental' in version 3.00. Name changed to 'Instrumental tuition' in version 4.00.,Service,
713,Introductory council tenancies,"A new tenancy in local authority property does not generally become securefor a defined period after it starts. If at any time before the end of this period the tenant misbehaves the local authority can initiate proceedings to evict the tenant. 
In Scotland a Scottish short secure tenancy is a short term or probationary tenancy agreement which can be given to tenants by a council, housing association or housing co-op. SSSTs are offered: for lets for a trial period, after which your tenancy may be upgraded to a Scottish secure tenancy, or for temporary lets.",2013-04-03,2013-04-03,Term name changed from 'Introductory tenancies' to 'Introductory council tenancies' and scope notes added in version 2.02. Scope notes updated in version 3.00 to cover Scottish regulations. Term name changed from 'Introductory council tenancies' to 'Housing - introductory council tenancies' in version 3.00. Name changed to ''Introductory council tenancies' in version 4.00.,Service,
438,Joining a library,"Processing of requests to join a local library including assessment of eligibility, issuing of library cards etc.  Publication of information about joining a library.",2013-04-03,2013-04-03,Term name changed from 'Membership/joining' to 'Library membership and joining' and scope notes added in version 2.02. Term name changed from 'Library membership and joining' to 'Libraries - how to join' in version 3.00. Name changed to 'Joining a library' in version 4.00.,Service,
902,Journey planning,Providing members of the public with a means to plan a journey to and from any address or station (bus or rail) within the local area.  The planner usually includes all forms of public transport ( often including walking) and calculates the journey based on departure and arrival times.,2013-04-03,2013-04-03,Term name changed from 'Journey planning' to 'Transport - journey planning' in version 3.00. Name changed to 'Journey planning' in version 4.00.,Service,
269,Keeping warm in winter,"The Central Heating Programme provides central heating systems and insulation measures in the private sector where the householder or their spouse is 60 or over, and there is no system or one which is irreparably broken.  In addition, applicants aged 80 or over can receive upgrades and replacements of partial or inefficient systems.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Scope notes updated in version 3.00 to clarify eligibility. Term name changed from 'Keeping warm in winter service' to 'Social services - keeping warm in winter - advice and support' in version 3.00. Name changed to 'Keeping warm in winter' in version 4.00.,Service,
593,Land and property availability,Information on residential and commercial land and property which is available for purchase or for rent in the local area.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Name changed to 'Land and property availability' in version 4.00.,Service,
820,Land and property valuations,Information and advice on property valuation for local business and on local chartered surveyors who may be available to carry out a valuation.,2013-04-03,2013-04-03,Term name changed from 'Valuations' to 'Property valuations' and scope notes added in version 2.02. Term name changed from 'Property valuations' to 'Land and property - valuations' in version 3.00. name changed to 'Land and property valuations' in version 4.00.,Service,
672,Land charges search,"Search of official records for information such as registerable charges, improvement grants, tree preservation orders, road schemes, planning history etc. on a plot of land.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Local land charges search' to 'Land and property - local land charges search' in version 3.00. Name changed to 'Land charges search' in version 4.00.,Service,
754,Land reclamation,"Promoting the reclamation or improvement of derelict, neglected or unsightly land utilising grants.  The council's role is to facilitate reclamation projects as they are often central to the regeneration of the economy. The council selects, determines the priorities, and provides finance at an appropriate level for these projects.  The council is responsible for the implementation of its reclamation schemes.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Scope notes extended in version 3.00 to clarify council responsibilities. Term name changed from 'Land reclamation' to 'Land and property - reclamation - support and advice' in version 3.00. Name changed to 'Land reclamation' in version 4.00.,Service,
594,Land use proposals,"The local authority decides on the use to which local land can be put in accordance with their economic, planning and environmental strategies.  Any proposals for change in use of land have to be approved by the local planning department.",2013-04-03,2013-04-03,Term name changed from 'Land use - proposals' to ' Proposals for land use' and scope notes added in version 2.02. Term name changed from 'Proposals for land use' to 'Planning - land use proposals' in version 3.00. Name used to 'Land use proposals' in version 4.00.,Service,
717,Landlord accreditation,"A set of standards (or code) relating to the management or physical condition of privately rented accommodation. Landlords who join a scheme and abide by the standards are accredited. Accreditation schemes are voluntary. There is no compulsion for landlords to join, but there may be many advantages.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Scope notes revised in version 3.00 to clarify scope of service. Term name changed from 'Landlords accreditation scheme' to 'Housing - landlords accreditation scheme' in version 3.00. Name changed to 'Landlord accreditation' in version 4.00.,Service,
597,Landscape character assessment,"The landscape character assessment involves systematic analysis, description and classification of the landscape. This helps develop appropriate recommendations for its future conservation and management.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Landscape - character assessment' to 'Planning - landscape character assessment' in version 3.00. Name changed to 'Landscape character assessment' in version 4.00.,Service,
6,Language and cultural support in school,"Support for children who do not have the national language as their first language. This may be provided by bi-lingual classroom assistants and resources or interpreting and translation in nursery and primary schools.
In the UK this support is provided for children who do not have English as their first language",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Language and cultural support' to 'Schools - language and cultural support' in version 3.00.  Term name changed to 'Language and cultural support in school' in version 4.00.,Service,
391,Late night catering licence,"""A late night refreshment house Licence is required when a building (that does not have a justices licence in force) is kept open for public refreshment between 10 o'clock at night and 5 o'clock the following morning. Applications may be considered jointly by the local authority, police and fire authorities. 
In Scotland anyone operating a cafe, restaurant, take-away or fast food premises late at night has to apply for a late hours catering licence from the council. A late hours catering licence is required where premises are to be used between the hours of 11 p.m. and 5.00 a.m. for the sale of meals or refreshments to the public. This can be to eat or drink on or off the premises.""@en",2013-04-03,2013-04-03,Added scope notes in version 2.02. Scope notes changed in version 3.00 to include Scottish regulations. Term name changed from 'Licence - late hours catering' to 'Licences - late night catering' in version 3.00. Name changed to 'Late night catering licence' in version 4.00.,Service,
119,Late tenancy arrears,"When a person leaves a council tenancy they become known as a 'former or late tenant'. If there are arrears at the end of the tenancy the Council will continue to pursue these. The council will discuss repayment terms with the tenant and could, if payment is not made, summons the former tenant to Court to get an Order for payment",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Council housing - late tenancy arrears - rents' to 'Housing - council - late tenancy arrears - rents' in version 3.00. Name changed to 'Late tenancy arrears' in version 4.00.,Service,
626,Law - Procurator Fiscal - sudden death investigations,"Investigation of all sudden and unexplained deaths, as well as deaths in suspicious circumstances. 
In the UK deaths are usually reported to the Coroner (England and Wales) or Procurator Fiscal (Scotland) by the police, a doctor or the Registrar of Births, Deaths and Marriages.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Scope notes updated to include Scotland in version 3.00. Term name changed from 'Coroners' to 'Law - coroners - sudden death investigations' in version 3.00. Name changed to 'Sudden death investigations' in version 4.00.,Service,
1348,Leaflet distribution consent,Anyone who wishes to distribute leaflets in public must have obtained consent from the local council to do so.,2013-04-03,2013-04-03,Added in version 3.10. Name changed to 'Leaflet distribution consent' in version 4.00.,Service,
628,Learning mentors,Young people who are in need of a mentor to provide additional support and assistance alongside their normal education can do so through their school.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Obtaining a mentor' to 'Schools - mentors' in version 3.00. Name changed to 'Learning mentors' in version 4.00.,Service,
